date_key,Week,Date,Sales_Period,Sales_Year,Quarter
1,0,12/30/2018 0:00,1,2019,1
2,1,1/6/2019 0:00,1,2019,1
3,2,1/13/2019 0:00,1,2019,1
4,3,1/20/2019 0:00,1,2019,1
5,4,1/27/2019 0:00,2,2019,1
6,5,2/3/2019 0:00,2,2019,1
7,6,2/10/2019 0:00,2,2019,1
8,7,2/17/2019 0:00,2,2019,1
9,8,2/24/2019 0:00,3,2019,1
10,9,3/3/2019 0:00,3,2019,1
11,10,3/10/2019 0:00,3,2019,1
12,11,3/17/2019 0:00,3,2019,1
13,12,3/24/2019 0:00,4,2019,1
14,13,3/31/2019 0:00,4,2019,2
15,14,4/7/2019 0:00,4,2019,2
16,15,4/14/2019 0:00,4,2019,2
17,16,4/21/2019 0:00,5,2019,2
18,17,4/28/2019 0:00,5,2019,2
19,18,5/5/2019 0:00,5,2019,2
20,19,5/12/2019 0:00,5,2019,2
21,20,5/19/2019 0:00,6,2019,2
22,21,5/26/2019 0:00,6,2019,2
23,22,6/2/2019 0:00,6,2019,2
24,23,6/9/2019 0:00,6,2019,2
25,24,6/16/2019 0:00,7,2019,2
26,25,6/23/2019 0:00,7,2019,2
27,26,6/30/2019 0:00,7,2019,3
28,27,7/7/2019 0:00,7,2019,3
29,28,7/14/2019 0:00,8,2019,3
30,29,7/21/2019 0:00,8,2019,3
31,30,7/28/2019 0:00,8,2019,3
32,31,8/4/2019 0:00,8,2019,3
33,32,8/11/2019 0:00,9,2019,3
34,33,8/18/2019 0:00,9,2019,3
35,34,8/25/2019 0:00,9,2019,3
36,35,9/1/2019 0:00,9,2019,3
37,36,9/8/2019 0:00,10,2019,3
38,37,9/15/2019 0:00,10,2019,3
39,38,9/22/2019 0:00,10,2019,3
40,39,9/29/2019 0:00,10,2019,4
41,40,10/6/2019 0:00,11,2019,4
42,41,10/13/2019 0:00,11,2019,4
43,42,10/20/2019 0:00,11,2019,4
44,43,10/27/2019 0:00,11,2019,4
45,44,11/3/2019 0:00,12,2019,4
46,45,11/10/2019 0:00,12,2019,4
47,46,11/17/2019 0:00,12,2019,4
48,47,11/24/2019 0:00,12,2019,4
49,48,12/1/2019 0:00,13,2019,4
50,49,12/8/2019 0:00,13,2019,4
51,50,12/15/2019 0:00,13,2019,4
52,51,12/22/2019 0:00,13,2019,4
53,0,12/29/2019 0:00,1,2020,1
54,1,1/5/2020 0:00,1,2020,1
55,2,1/12/2020 0:00,1,2020,1
56,3,1/19/2020 0:00,1,2020,1
57,4,1/26/2020 0:00,2,2020,1
58,5,2/2/2020 0:00,2,2020,1
59,6,2/9/2020 0:00,2,2020,1
60,7,2/16/2020 0:00,2,2020,1
61,8,2/23/2020 0:00,3,2020,1
62,9,3/1/2020 0:00,3,2020,1
63,10,3/8/2020 0:00,3,2020,1
64,11,3/15/2020 0:00,3,2020,1
65,12,3/22/2020 0:00,4,2020,1
66,13,3/29/2020 0:00,4,2020,2
67,14,4/5/2020 0:00,4,2020,2
68,15,4/12/2020 0:00,4,2020,2
69,16,4/19/2020 0:00,5,2020,2
70,17,4/26/2020 0:00,5,2020,2
71,18,5/3/2020 0:00,5,2020,2
72,19,5/10/2020 0:00,5,2020,2
73,20,5/17/2020 0:00,6,2020,2
74,21,5/24/2020 0:00,6,2020,2
75,22,5/31/2020 0:00,6,2020,2
76,23,6/7/2020 0:00,6,2020,2
77,24,6/14/2020 0:00,7,2020,2
78,25,6/21/2020 0:00,7,2020,2
79,26,6/28/2020 0:00,7,2020,3
80,27,7/5/2020 0:00,7,2020,3
81,28,7/12/2020 0:00,8,2020,3
82,29,7/19/2020 0:00,8,2020,3
83,30,7/26/2020 0:00,8,2020,3
84,31,8/2/2020 0:00,8,2020,3
85,32,8/9/2020 0:00,9,2020,3
86,33,8/16/2020 0:00,9,2020,3
87,34,8/23/2020 0:00,9,2020,3
88,35,8/30/2020 0:00,9,2020,3
89,36,9/6/2020 0:00,10,2020,3
90,37,9/13/2020 0:00,10,2020,3
91,38,9/20/2020 0:00,10,2020,3
92,39,9/27/2020 0:00,10,2020,4
93,40,10/4/2020 0:00,11,2020,4
94,41,10/11/2020 0:00,11,2020,4
95,42,10/18/2020 0:00,11,2020,4
96,43,10/25/2020 0:00,11,2020,4
97,44,11/1/2020 0:00,12,2020,4
98,45,11/8/2020 0:00,12,2020,4
99,46,11/15/2020 0:00,12,2020,4
100,47,11/22/2020 0:00,12,2020,4
101,48,11/29/2020 0:00,13,2020,4
102,49,12/6/2020 0:00,13,2020,4
103,50,12/13/2020 0:00,13,2020,4
104,51,12/20/2020 0:00,13,2020,4
