Index,ITEM_CODE,EMP_ID,Year,Week,Amount
0,PROD_006,EMP290,2019,0,8
1,PROD_007,EMP290,2019,0,10
2,PROD_001,EMP290,2019,0,20
3,PROD_008,EMP290,2019,0,7
4,PROD_004,EMP290,2019,0,15
5,ESP_004,EMP290,2019,0,2
6,ESP_002,EMP290,2019,0,0
7,ESP_007,EMP290,2019,0,1
8,PROD_002,EMP290,2019,0,7
9,PROD_003,EMP290,2019,0,23
10,ESP_001,EMP290,2019,0,2
11,PROD_005,EMP290,2019,0,10
12,ESP_005,EMP290,2019,0,1
13,ESP_008,EMP290,2019,0,1
14,ESP_003,EMP290,2019,0,1
15,ESP_006,EMP290,2019,0,2
16,ESP_004,EMP267,2019,0,4
17,ESP_003,EMP267,2019,0,4
18,ESP_001,EMP267,2019,0,6
19,PROD_007,EMP267,2019,0,26
20,PROD_008,EMP267,2019,0,25
21,ESP_007,EMP267,2019,0,3
22,ESP_005,EMP267,2019,0,5
23,PROD_001,EMP267,2019,0,32
24,PROD_004,EMP267,2019,0,37
25,PROD_002,EMP267,2019,0,31
26,ESP_008,EMP267,2019,0,4
27,ESP_002,EMP267,2019,0,2
28,PROD_003,EMP267,2019,0,21
29,ESP_006,EMP267,2019,0,10
30,PROD_006,EMP267,2019,0,32
31,PROD_005,EMP267,2019,0,32
32,PROD_003,EMP256,2019,0,19
33,ESP_007,EMP256,2019,0,2
34,ESP_004,EMP256,2019,0,2
35,ESP_003,EMP256,2019,0,2
36,PROD_005,EMP256,2019,0,15
37,ESP_006,EMP256,2019,0,3
38,PROD_002,EMP256,2019,0,23
39,PROD_001,EMP256,2019,0,31
40,PROD_008,EMP256,2019,0,13
41,ESP_005,EMP256,2019,0,2
42,PROD_007,EMP256,2019,0,15
43,PROD_006,EMP256,2019,0,10
44,ESP_002,EMP256,2019,0,2
45,ESP_001,EMP256,2019,0,3
46,ESP_008,EMP256,2019,0,2
47,PROD_004,EMP256,2019,0,12
48,ESP_004,EMP244,2019,0,6
49,PROD_008,EMP244,2019,0,17
50,PROD_006,EMP244,2019,0,36
51,PROD_007,EMP244,2019,0,35
52,ESP_007,EMP244,2019,0,6
53,ESP_006,EMP244,2019,0,12
54,PROD_005,EMP244,2019,0,40
55,ESP_002,EMP244,2019,0,6
56,ESP_001,EMP244,2019,0,9
57,PROD_004,EMP244,2019,0,43
58,PROD_002,EMP244,2019,0,41
59,PROD_003,EMP244,2019,0,27
60,PROD_001,EMP244,2019,0,35
61,ESP_003,EMP244,2019,0,3
62,ESP_008,EMP244,2019,0,2
63,ESP_005,EMP244,2019,0,9
64,PROD_005,EMP234,2019,0,26
65,PROD_007,EMP234,2019,0,14
66,PROD_003,EMP234,2019,0,34
67,ESP_001,EMP234,2019,0,4
68,ESP_004,EMP234,2019,0,4
69,ESP_008,EMP234,2019,0,1
70,PROD_004,EMP234,2019,0,35
71,ESP_006,EMP234,2019,0,4
72,PROD_002,EMP234,2019,0,27
73,ESP_003,EMP234,2019,0,4
74,ESP_007,EMP234,2019,0,2
75,PROD_001,EMP234,2019,0,34
76,ESP_005,EMP234,2019,0,4
77,PROD_008,EMP234,2019,0,10
78,ESP_002,EMP234,2019,0,2
79,PROD_006,EMP234,2019,0,16
80,ESP_002,EMP290,2019,1,0
81,PROD_002,EMP290,2019,1,7
82,ESP_001,EMP290,2019,1,1
83,ESP_005,EMP290,2019,1,1
84,PROD_003,EMP290,2019,1,16
85,ESP_008,EMP290,2019,1,0
86,PROD_001,EMP290,2019,1,11
87,PROD_008,EMP290,2019,1,6
88,ESP_003,EMP290,2019,1,1
89,ESP_006,EMP290,2019,1,3
90,PROD_004,EMP290,2019,1,7
91,ESP_004,EMP290,2019,1,1
92,PROD_007,EMP290,2019,1,7
93,PROD_006,EMP290,2019,1,14
94,PROD_005,EMP290,2019,1,11
95,ESP_007,EMP290,2019,1,1
96,ESP_006,EMP267,2019,1,14
97,ESP_002,EMP267,2019,1,2
98,PROD_005,EMP267,2019,1,34
99,ESP_003,EMP267,2019,1,7
100,ESP_005,EMP267,2019,1,5
101,ESP_001,EMP267,2019,1,9
102,PROD_001,EMP267,2019,1,48
103,PROD_008,EMP267,2019,1,30
104,ESP_004,EMP267,2019,1,3
105,PROD_003,EMP267,2019,1,36
106,ESP_007,EMP267,2019,1,4
107,PROD_002,EMP267,2019,1,21
108,PROD_006,EMP267,2019,1,44
109,PROD_004,EMP267,2019,1,28
110,ESP_008,EMP267,2019,1,5
111,PROD_007,EMP267,2019,1,31
112,ESP_004,EMP256,2019,1,4
113,ESP_007,EMP256,2019,1,2
114,ESP_003,EMP256,2019,1,2
115,PROD_006,EMP256,2019,1,6
116,PROD_003,EMP256,2019,1,20
117,PROD_005,EMP256,2019,1,12
118,ESP_006,EMP256,2019,1,2
119,PROD_007,EMP256,2019,1,12
120,ESP_008,EMP256,2019,1,1
121,ESP_005,EMP256,2019,1,2
122,PROD_008,EMP256,2019,1,6
123,ESP_001,EMP256,2019,1,3
124,PROD_001,EMP256,2019,1,27
125,ESP_002,EMP256,2019,1,1
126,PROD_004,EMP256,2019,1,27
127,PROD_002,EMP256,2019,1,12
128,ESP_003,EMP244,2019,1,7
129,PROD_008,EMP244,2019,1,16
130,PROD_002,EMP244,2019,1,27
131,PROD_005,EMP244,2019,1,38
132,ESP_005,EMP244,2019,1,8
133,ESP_008,EMP244,2019,1,2
134,ESP_001,EMP244,2019,1,8
135,ESP_004,EMP244,2019,1,6
136,PROD_003,EMP244,2019,1,46
137,PROD_006,EMP244,2019,1,44
138,ESP_002,EMP244,2019,1,4
139,PROD_007,EMP244,2019,1,29
140,ESP_006,EMP244,2019,1,15
141,ESP_007,EMP244,2019,1,5
142,PROD_001,EMP244,2019,1,34
143,PROD_004,EMP244,2019,1,34
144,ESP_005,EMP234,2019,1,3
145,ESP_001,EMP234,2019,1,4
146,PROD_002,EMP234,2019,1,45
147,PROD_005,EMP234,2019,1,16
148,ESP_003,EMP234,2019,1,5
149,PROD_004,EMP234,2019,1,37
150,PROD_003,EMP234,2019,1,37
151,PROD_001,EMP234,2019,1,27
152,PROD_008,EMP234,2019,1,10
153,PROD_006,EMP234,2019,1,30
154,ESP_004,EMP234,2019,1,4
155,PROD_007,EMP234,2019,1,20
156,ESP_006,EMP234,2019,1,8
157,ESP_002,EMP234,2019,1,4
158,ESP_007,EMP234,2019,1,2
159,ESP_008,EMP234,2019,1,1
160,PROD_001,EMP290,2019,2,22
161,PROD_008,EMP290,2019,2,7
162,PROD_003,EMP290,2019,2,9
163,ESP_004,EMP290,2019,2,2
164,ESP_001,EMP290,2019,2,1
165,ESP_007,EMP290,2019,2,1
166,PROD_005,EMP290,2019,2,10
167,PROD_004,EMP290,2019,2,15
168,ESP_003,EMP290,2019,2,0
169,ESP_006,EMP290,2019,2,3
170,PROD_006,EMP290,2019,2,14
171,PROD_007,EMP290,2019,2,8
172,ESP_008,EMP290,2019,2,0
173,ESP_005,EMP290,2019,2,1
174,ESP_002,EMP290,2019,2,0
175,PROD_002,EMP290,2019,2,13
176,ESP_002,EMP267,2019,2,3
177,PROD_005,EMP267,2019,2,38
178,PROD_006,EMP267,2019,2,31
179,PROD_001,EMP267,2019,2,44
180,ESP_001,EMP267,2019,2,8
181,ESP_008,EMP267,2019,2,6
182,ESP_007,EMP267,2019,2,6
183,PROD_007,EMP267,2019,2,45
184,PROD_004,EMP267,2019,2,42
185,ESP_003,EMP267,2019,2,9
186,ESP_005,EMP267,2019,2,6
187,PROD_008,EMP267,2019,2,32
188,ESP_004,EMP267,2019,2,6
189,PROD_003,EMP267,2019,2,44
190,ESP_006,EMP267,2019,2,10
191,PROD_002,EMP267,2019,2,28
192,PROD_006,EMP256,2019,2,6
193,ESP_005,EMP256,2019,2,1
194,PROD_004,EMP256,2019,2,18
195,ESP_007,EMP256,2019,2,2
196,PROD_003,EMP256,2019,2,27
197,ESP_006,EMP256,2019,2,2
198,PROD_002,EMP256,2019,2,16
199,PROD_005,EMP256,2019,2,7
200,ESP_004,EMP256,2019,2,3
201,ESP_008,EMP256,2019,2,1
202,PROD_001,EMP256,2019,2,37
203,ESP_003,EMP256,2019,2,3
204,ESP_001,EMP256,2019,2,4
205,PROD_008,EMP256,2019,2,7
206,ESP_002,EMP256,2019,2,1
207,PROD_007,EMP256,2019,2,11
208,ESP_002,EMP244,2019,2,5
209,PROD_008,EMP244,2019,2,19
210,ESP_003,EMP244,2019,2,5
211,PROD_001,EMP244,2019,2,40
212,ESP_008,EMP244,2019,2,3
213,ESP_006,EMP244,2019,2,8
214,PROD_007,EMP244,2019,2,40
215,ESP_007,EMP244,2019,2,7
216,ESP_004,EMP244,2019,2,7
217,PROD_002,EMP244,2019,2,27
218,PROD_003,EMP244,2019,2,31
219,ESP_005,EMP244,2019,2,9
220,PROD_005,EMP244,2019,2,39
221,PROD_006,EMP244,2019,2,22
222,ESP_001,EMP244,2019,2,10
223,PROD_004,EMP244,2019,2,39
224,PROD_002,EMP234,2019,2,40
225,PROD_001,EMP234,2019,2,28
226,ESP_007,EMP234,2019,2,2
227,PROD_005,EMP234,2019,2,23
228,ESP_002,EMP234,2019,2,4
229,PROD_006,EMP234,2019,2,25
230,PROD_004,EMP234,2019,2,31
231,ESP_003,EMP234,2019,2,4
232,PROD_007,EMP234,2019,2,15
233,PROD_003,EMP234,2019,2,29
234,ESP_006,EMP234,2019,2,7
235,ESP_005,EMP234,2019,2,4
236,PROD_008,EMP234,2019,2,10
237,ESP_008,EMP234,2019,2,1
238,ESP_004,EMP234,2019,2,4
239,ESP_001,EMP234,2019,2,4
240,ESP_006,EMP290,2019,3,2
241,ESP_005,EMP290,2019,3,1
242,PROD_001,EMP290,2019,3,14
243,ESP_003,EMP290,2019,3,0
244,PROD_006,EMP290,2019,3,11
245,PROD_008,EMP290,2019,3,8
246,ESP_002,EMP290,2019,3,0
247,PROD_002,EMP290,2019,3,14
248,ESP_001,EMP290,2019,3,1
249,PROD_005,EMP290,2019,3,9
250,PROD_004,EMP290,2019,3,14
251,PROD_003,EMP290,2019,3,11
252,ESP_008,EMP290,2019,3,0
253,ESP_004,EMP290,2019,3,2
254,ESP_007,EMP290,2019,3,2
255,PROD_007,EMP290,2019,3,13
256,ESP_005,EMP267,2019,3,7
257,PROD_006,EMP267,2019,3,38
258,PROD_004,EMP267,2019,3,38
259,PROD_005,EMP267,2019,3,41
260,ESP_007,EMP267,2019,3,5
261,PROD_008,EMP267,2019,3,47
262,ESP_003,EMP267,2019,3,11
263,PROD_003,EMP267,2019,3,47
264,ESP_006,EMP267,2019,3,13
265,ESP_001,EMP267,2019,3,8
266,ESP_008,EMP267,2019,3,9
267,PROD_007,EMP267,2019,3,36
268,ESP_004,EMP267,2019,3,6
269,PROD_001,EMP267,2019,3,40
270,ESP_002,EMP267,2019,3,5
271,PROD_002,EMP267,2019,3,39
272,ESP_001,EMP256,2019,3,3
273,PROD_004,EMP256,2019,3,22
274,ESP_008,EMP256,2019,3,1
275,ESP_002,EMP256,2019,3,1
276,PROD_001,EMP256,2019,3,29
277,PROD_003,EMP256,2019,3,23
278,ESP_006,EMP256,2019,3,4
279,PROD_005,EMP256,2019,3,16
280,ESP_004,EMP256,2019,3,3
281,PROD_006,EMP256,2019,3,15
282,ESP_005,EMP256,2019,3,3
283,PROD_007,EMP256,2019,3,17
284,ESP_003,EMP256,2019,3,3
285,ESP_007,EMP256,2019,3,3
286,PROD_008,EMP256,2019,3,9
287,PROD_002,EMP256,2019,3,22
288,ESP_004,EMP244,2019,3,6
289,ESP_003,EMP244,2019,3,7
290,PROD_002,EMP244,2019,3,51
291,PROD_003,EMP244,2019,3,38
292,PROD_008,EMP244,2019,3,20
293,PROD_007,EMP244,2019,3,32
294,PROD_006,EMP244,2019,3,35
295,PROD_004,EMP244,2019,3,32
296,ESP_005,EMP244,2019,3,9
297,PROD_005,EMP244,2019,3,38
298,ESP_007,EMP244,2019,3,6
299,PROD_001,EMP244,2019,3,36
300,ESP_002,EMP244,2019,3,9
301,ESP_001,EMP244,2019,3,9
302,ESP_008,EMP244,2019,3,4
303,ESP_006,EMP244,2019,3,13
304,PROD_003,EMP234,2019,3,42
305,ESP_006,EMP234,2019,3,3
306,PROD_007,EMP234,2019,3,11
307,ESP_005,EMP234,2019,3,3
308,ESP_003,EMP234,2019,3,6
309,PROD_005,EMP234,2019,3,19
310,ESP_002,EMP234,2019,3,4
311,PROD_006,EMP234,2019,3,11
312,ESP_007,EMP234,2019,3,2
313,ESP_001,EMP234,2019,3,6
314,PROD_001,EMP234,2019,3,36
315,PROD_002,EMP234,2019,3,34
316,ESP_004,EMP234,2019,3,3
317,PROD_004,EMP234,2019,3,23
318,ESP_008,EMP234,2019,3,2
319,PROD_008,EMP234,2019,3,11
320,ESP_005,EMP290,2019,4,1
321,ESP_008,EMP290,2019,4,0
322,ESP_003,EMP290,2019,4,1
323,PROD_006,EMP290,2019,4,14
324,PROD_004,EMP290,2019,4,17
325,PROD_001,EMP290,2019,4,15
326,ESP_001,EMP290,2019,4,0
327,ESP_006,EMP290,2019,4,3
328,PROD_003,EMP290,2019,4,16
329,PROD_008,EMP290,2019,4,10
330,PROD_002,EMP290,2019,4,11
331,ESP_007,EMP290,2019,4,1
332,ESP_002,EMP290,2019,4,0
333,ESP_004,EMP290,2019,4,2
334,PROD_005,EMP290,2019,4,9
335,PROD_007,EMP290,2019,4,7
336,PROD_001,EMP267,2019,4,31
337,PROD_007,EMP267,2019,4,31
338,ESP_003,EMP267,2019,4,6
339,ESP_007,EMP267,2019,4,4
340,ESP_005,EMP267,2019,4,4
341,PROD_002,EMP267,2019,4,53
342,ESP_002,EMP267,2019,4,7
343,ESP_004,EMP267,2019,4,7
344,PROD_006,EMP267,2019,4,37
345,ESP_001,EMP267,2019,4,6
346,ESP_008,EMP267,2019,4,9
347,PROD_004,EMP267,2019,4,37
348,PROD_008,EMP267,2019,4,45
349,ESP_006,EMP267,2019,4,13
