Index,ITEM_CODE,EMP_ID,Year,Week,Amount
1,PROD_001,EMP290,2019,0,20
2,ESP_008,EMP256,2019,0,2
3,ESP_004,EMP267,2019,0,4
4,ESP_007,EMP290,2019,0,1
5,ESP_004,EMP256,2019,0,2
6,PROD_002,EMP290,2019,0,7
7,PROD_006,EMP256,2019,0,10
8,PROD_006,EMP244,2019,0,36
9,PROD_004,EMP234,2019,0,35
10,PROD_004,EMP256,2019,0,12
11,ESP_003,EMP256,2019,0,2
12,PROD_005,EMP267,2019,0,32
13,ESP_004,EMP244,2019,0,6
14,ESP_003,EMP290,2019,0,1
15,ESP_004,EMP234,2019,0,4
16,PROD_004,EMP267,2019,0,37
17,ESP_005,EMP234,2019,0,4
18,ESP_004,EMP290,2019,0,2
19,ESP_003,EMP267,2019,0,4
20,PROD_002,EMP267,2019,0,31
21,PROD_003,EMP234,2019,0,34
22,PROD_004,EMP290,2019,0,15
23,PROD_002,EMP256,2019,0,23
24,PROD_007,EMP234,2019,0,14
25,PROD_006,EMP234,2019,0,16
26,PROD_001,EMP244,2019,0,35
27,PROD_003,EMP290,2019,0,23
28,PROD_002,EMP234,2019,0,27
29,PROD_007,EMP256,2019,0,15
30,ESP_007,EMP244,2019,0,6
31,ESP_007,EMP256,2019,0,2
32,PROD_008,EMP244,2019,0,17
33,PROD_008,EMP267,2019,0,25
34,PROD_005,EMP256,2019,0,15
35,PROD_008,EMP234,2019,0,10
36,PROD_001,EMP256,2019,0,31
37,PROD_003,EMP256,2019,0,19
38,ESP_008,EMP267,2019,0,4
39,PROD_005,EMP234,2019,0,26
40,PROD_007,EMP244,2019,0,35
41,PROD_006,EMP290,2019,0,8
42,ESP_008,EMP244,2019,0,2
43,ESP_002,EMP267,2019,0,2
44,ESP_007,EMP234,2019,0,2
45,ESP_008,EMP234,2019,0,1
46,PROD_005,EMP290,2019,0,10
47,PROD_007,EMP290,2019,0,10
48,PROD_008,EMP256,2019,0,13
49,PROD_007,EMP267,2019,0,26
50,PROD_005,EMP244,2019,0,40
51,ESP_001,EMP290,2019,0,2
52,PROD_004,EMP244,2019,0,43
53,ESP_002,EMP256,2019,0,2
54,ESP_002,EMP234,2019,0,2
55,ESP_002,EMP244,2019,0,6
56,ESP_003,EMP234,2019,0,4
57,PROD_003,EMP244,2019,0,27
58,ESP_002,EMP290,2019,0,0
59,ESP_008,EMP290,2019,0,1
60,PROD_006,EMP267,2019,0,32
61,PROD_003,EMP267,2019,0,21
62,ESP_006,EMP256,2019,0,3
63,PROD_001,EMP267,2019,0,32
64,ESP_006,EMP290,2019,0,2
65,ESP_005,EMP244,2019,0,9
66,ESP_006,EMP244,2019,0,12
67,ESP_007,EMP267,2019,0,3
68,ESP_006,EMP234,2019,0,4
69,PROD_002,EMP244,2019,0,41
70,ESP_006,EMP267,2019,0,10
71,PROD_008,EMP290,2019,0,7
72,ESP_001,EMP234,2019,0,4
73,ESP_001,EMP267,2019,0,6
74,PROD_001,EMP234,2019,0,34
75,ESP_001,EMP256,2019,0,3
76,ESP_005,EMP267,2019,0,5
77,ESP_005,EMP290,2019,0,1
78,ESP_005,EMP256,2019,0,2
79,ESP_001,EMP244,2019,0,9
80,ESP_003,EMP244,2019,0,3
81,PROD_005,EMP244,2019,1,38
82,PROD_003,EMP267,2019,1,36
83,PROD_008,EMP256,2019,1,6
84,PROD_002,EMP290,2019,1,7
85,ESP_007,EMP290,2019,1,1
86,PROD_003,EMP234,2019,1,37
87,PROD_003,EMP290,2019,1,16
88,PROD_005,EMP290,2019,1,11
89,PROD_006,EMP256,2019,1,6
90,PROD_002,EMP267,2019,1,21
91,ESP_004,EMP256,2019,1,4
92,ESP_003,EMP256,2019,1,2
93,ESP_008,EMP290,2019,1,0
94,PROD_006,EMP267,2019,1,44
95,PROD_005,EMP256,2019,1,12
96,PROD_001,EMP244,2019,1,34
97,PROD_001,EMP234,2019,1,27
98,PROD_002,EMP256,2019,1,12
99,ESP_004,EMP244,2019,1,6
100,PROD_003,EMP256,2019,1,20
101,ESP_008,EMP234,2019,1,1
102,PROD_008,EMP267,2019,1,30
103,ESP_004,EMP267,2019,1,3
104,ESP_005,EMP267,2019,1,5
105,PROD_006,EMP234,2019,1,30
106,ESP_004,EMP234,2019,1,4
107,PROD_007,EMP244,2019,1,29
108,ESP_007,EMP234,2019,1,2
109,PROD_008,EMP244,2019,1,16
110,PROD_003,EMP244,2019,1,46
111,ESP_005,EMP256,2019,1,2
112,ESP_001,EMP234,2019,1,4
113,ESP_006,EMP244,2019,1,15
114,PROD_002,EMP234,2019,1,45
115,PROD_008,EMP290,2019,1,6
116,ESP_007,EMP267,2019,1,4
117,PROD_001,EMP267,2019,1,48
118,ESP_002,EMP267,2019,1,2
119,ESP_003,EMP234,2019,1,5
120,ESP_002,EMP256,2019,1,1
121,PROD_002,EMP244,2019,1,27
122,ESP_008,EMP267,2019,1,5
123,PROD_004,EMP234,2019,1,37
124,ESP_001,EMP267,2019,1,9
125,ESP_003,EMP267,2019,1,7
126,ESP_005,EMP234,2019,1,3
127,ESP_007,EMP244,2019,1,5
128,ESP_006,EMP290,2019,1,3
129,PROD_001,EMP290,2019,1,11
130,ESP_005,EMP290,2019,1,1
131,PROD_004,EMP290,2019,1,7
132,PROD_008,EMP234,2019,1,10
133,PROD_007,EMP234,2019,1,20
134,ESP_007,EMP256,2019,1,2
135,ESP_002,EMP234,2019,1,4
136,ESP_006,EMP267,2019,1,14
137,ESP_008,EMP256,2019,1,1
138,PROD_007,EMP267,2019,1,31
139,PROD_001,EMP256,2019,1,27
140,PROD_004,EMP256,2019,1,27
141,PROD_007,EMP256,2019,1,12
142,ESP_001,EMP256,2019,1,3
143,ESP_005,EMP244,2019,1,8
144,ESP_001,EMP290,2019,1,1
145,ESP_002,EMP244,2019,1,4
146,PROD_005,EMP234,2019,1,16
147,ESP_006,EMP234,2019,1,8
148,ESP_003,EMP244,2019,1,7
149,ESP_001,EMP244,2019,1,8
150,ESP_004,EMP290,2019,1,1
151,PROD_007,EMP290,2019,1,7
152,PROD_004,EMP267,2019,1,28
153,PROD_004,EMP244,2019,1,34
154,PROD_006,EMP244,2019,1,44
155,ESP_003,EMP290,2019,1,1
156,ESP_008,EMP244,2019,1,2
157,ESP_002,EMP290,2019,1,0
158,ESP_006,EMP256,2019,1,2
159,PROD_005,EMP267,2019,1,34
160,PROD_006,EMP290,2019,1,14
161,ESP_003,EMP290,2019,2,0
162,ESP_008,EMP290,2019,2,0
163,PROD_002,EMP234,2019,2,40
164,ESP_007,EMP256,2019,2,2
165,PROD_002,EMP290,2019,2,13
166,ESP_001,EMP256,2019,2,4
167,PROD_006,EMP267,2019,2,31
168,ESP_007,EMP267,2019,2,6
169,ESP_008,EMP267,2019,2,6
170,ESP_007,EMP290,2019,2,1
171,PROD_008,EMP267,2019,2,32
172,PROD_003,EMP244,2019,2,31
173,PROD_004,EMP244,2019,2,39
174,PROD_004,EMP267,2019,2,42
175,ESP_003,EMP267,2019,2,9
176,PROD_001,EMP290,2019,2,22
177,ESP_002,EMP234,2019,2,4
178,ESP_002,EMP256,2019,2,1
179,PROD_007,EMP256,2019,2,11
180,PROD_004,EMP234,2019,2,31
181,PROD_006,EMP234,2019,2,25
182,ESP_001,EMP244,2019,2,10
183,PROD_005,EMP256,2019,2,7
184,PROD_008,EMP244,2019,2,19
185,ESP_005,EMP234,2019,2,4
186,ESP_006,EMP290,2019,2,3
187,ESP_007,EMP244,2019,2,7
188,PROD_001,EMP267,2019,2,44
189,ESP_004,EMP234,2019,2,4
190,ESP_001,EMP234,2019,2,4
191,PROD_003,EMP234,2019,2,29
192,ESP_003,EMP244,2019,2,5
193,PROD_007,EMP267,2019,2,45
194,ESP_005,EMP244,2019,2,9
195,ESP_002,EMP290,2019,2,0
196,PROD_008,EMP256,2019,2,7
197,PROD_005,EMP234,2019,2,23
198,ESP_004,EMP267,2019,2,6
199,ESP_008,EMP234,2019,2,1
200,ESP_004,EMP256,2019,2,3
201,PROD_004,EMP256,2019,2,18
202,ESP_003,EMP256,2019,2,3
203,PROD_008,EMP290,2019,2,7
204,PROD_003,EMP290,2019,2,9
205,ESP_006,EMP267,2019,2,10
206,PROD_001,EMP244,2019,2,40
207,ESP_004,EMP244,2019,2,7
208,ESP_004,EMP290,2019,2,2
209,ESP_008,EMP256,2019,2,1
210,PROD_003,EMP267,2019,2,44
211,PROD_005,EMP290,2019,2,10
212,ESP_001,EMP267,2019,2,8
213,PROD_007,EMP244,2019,2,40
214,PROD_005,EMP267,2019,2,38
215,ESP_002,EMP244,2019,2,5
216,PROD_005,EMP244,2019,2,39
217,ESP_006,EMP244,2019,2,8
218,PROD_006,EMP244,2019,2,22
219,PROD_007,EMP234,2019,2,15
220,ESP_001,EMP290,2019,2,1
221,ESP_006,EMP256,2019,2,2
222,PROD_001,EMP234,2019,2,28
223,ESP_007,EMP234,2019,2,2
224,PROD_006,EMP290,2019,2,14
225,PROD_002,EMP244,2019,2,27
226,PROD_008,EMP234,2019,2,10
227,ESP_005,EMP267,2019,2,6
228,PROD_002,EMP256,2019,2,16
229,ESP_008,EMP244,2019,2,3
230,PROD_002,EMP267,2019,2,28
231,PROD_004,EMP290,2019,2,15
232,PROD_006,EMP256,2019,2,6
233,ESP_006,EMP234,2019,2,7
234,ESP_005,EMP256,2019,2,1
235,PROD_003,EMP256,2019,2,27
236,PROD_007,EMP290,2019,2,8
237,ESP_002,EMP267,2019,2,3
238,ESP_003,EMP234,2019,2,4
239,ESP_005,EMP290,2019,2,1
240,PROD_001,EMP256,2019,2,37
